case,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,impulse_n_s,dominance_rank,feasible,guidance_gain,impulse_n_s_percentile_score,miss_distance_m_percentile_score,miss_p95_m,percentile_score,robustness_margin_percentile_score,robustness_score,runs,success_rate,thrust_n
9,True,aggregate,14.601085902329574,35.07117269135462,164928.82730864538,19888.03652303921,0,True,2.6,1.0,1.0,18.24887958514409,0.7857142857142857,0.3571428571428572,34.77915097330803,6,1.0,2000.0
12,True,aggregate,16.908461228144308,41.439296285775924,158560.70371422407,20623.296553934597,0,True,3.0,0.7857142857142857,0.7142857142857143,23.630743260736864,0.6666666666666666,0.5,41.10112706121304,6,1.0,2000.0
14,True,aggregate,18.93274401287232,42.120914808796314,157879.0851912037,20619.318435610734,0,True,3.0,0.8571428571428572,0.4285714285714286,23.630743260736864,0.6428571428571429,0.6428571428571429,41.74225992853887,6,1.0,2400.0
11,True,aggregate,16.080829156479034,41.439296285775924,158560.70371422407,20758.390090487883,0,True,2.6,0.6428571428571429,0.7857142857142857,22.349352874861566,0.6190476190476191,0.4285714285714286,41.11767970264634,6,1.0,2400.0
1,True,aggregate,20.403847001508815,45.8673984284995,154132.6015715005,21807.67343083164,0,True,1.4,0.4285714285714286,0.3571428571428572,31.29174253709135,0.5952380952380952,1.0,45.45932148846932,6,1.0,2200.0
0,True,aggregate,22.787901799856655,45.8673984284995,154132.6015715005,21793.39470503586,0,True,1.4,0.5,0.2142857142857143,31.29174253709135,0.5476190476190476,0.9285714285714286,45.41164039250236,6,1.0,2000.0
10,True,aggregate,16.080829156479034,34.66744450457164,165332.55549542836,19974.89188472265,1,True,2.6,0.9285714285714286,0.8571428571428572,18.469552452288692,0.6666666666666666,0.2142857142857143,34.34582792144206,6,1.0,2200.0
13,True,aggregate,16.908461228144308,41.439296285775924,158560.70371422407,20659.26892323738,1,True,3.0,0.7142857142857143,0.6428571428571429,23.630743260736864,0.6428571428571429,0.5714285714285714,41.10112706121304,6,1.0,2200.0
8,True,aggregate,16.080829156479034,35.07117269135462,164928.82730864538,20916.344902704786,2,True,2.2,0.5714285714285714,0.9285714285714286,24.519269408096523,0.5952380952380952,0.2857142857142858,34.749556108225036,6,1.0,2400.0
2,True,aggregate,26.725887726015117,43.36336714645827,156636.63285354173,23023.768817063872,2,True,1.4,0.1428571428571429,0.07142857142857151,31.29174253709135,0.3571428571428572,0.8571428571428572,42.82884939193797,6,1.0,2400.0
4,True,aggregate,25.738849179905266,42.15621268650143,157843.78731349856,23411.564718646474,2,True,1.8,0.07142857142857151,0.1428571428571429,30.057936127283774,0.3333333333333333,0.7857142857142857,41.64143570290333,6,1.0,2200.0
3,True,aggregate,27.398464107269522,42.15621268650143,157843.78731349856,24240.185037254574,4,True,1.8,0.0,0.0,31.29174253709135,0.2380952380952381,0.7142857142857143,41.608243404356045,6,1.0,2000.0
6,True,aggregate,17.268671884005027,34.574246256508104,165425.7537434919,22034.45889948699,6,True,2.2,0.3571428571428572,0.5714285714285714,27.891983380324447,0.3333333333333333,0.07142857142857151,34.228872818828,6,1.0,2000.0
7,True,aggregate,17.268671884005027,34.574246256508104,165425.7537434919,22107.98611473235,7,True,2.2,0.2857142857142858,0.5,27.891983380324447,0.3095238095238096,0.1428571428571429,34.228872818828,6,1.0,2200.0
5,True,aggregate,21.95453687377897,34.574246256508104,165425.7537434919,22798.82275520242,10,True,1.8,0.2142857142857143,0.2857142857142858,27.891983380324447,0.1666666666666667,0.0,34.13515551903252,6,1.0,2400.0
