parameter,pearson,rank_correlation,score
thrust_n,-0.851031921434191,-0.8477302397302399,1.2732462004473355
mass_kg,0.3580199154781156,0.34243264243264243,0.5214426001717003
sensor_bias_z_m,-0.33050755090542183,-0.3201006321006321,0.485354407553343
sensor_bias_x_m,-0.14380525107662134,-0.13513719913719915,0.20703982467550983
guidance_gain,-0.09766302057010798,-0.0936032496032496,0.1424347598883036
wind_z_mps,-0.09003429810812746,-0.08137575337575338,0.1263929024298171
wind_x_mps,-0.0908127853240007,-0.0696884736884737,0.11509486635047404
run,-0.018455607729009574,-0.024352752352752353,0.03358055621725714
sensor_noise_m,0.005004494167410128,-0.0018574338574338576,0.0043596809411389215
