cdf,value
0.001,0.7617898950204289
0.01,3.5007097358785733
0.02,6.041508345278645
0.03,7.190101550612383
0.04,8.3422192120078
0.05,8.897015839769034
0.06,10.000154764388851
0.07,10.293392814970284
0.08,10.97413813621039
0.09,11.915348408548438
0.1,12.26374828453324
0.11,12.762707534990833
0.12,13.059006881024736
0.13,13.531945307384543
0.14,14.081991758490688
0.15,14.373903555801153
0.16,14.701608946568546
0.17,15.022252343585077
0.18,15.360587630323279
0.19,15.70728649207631
0.2,15.98657827266295
0.21,16.249000661196096
0.22,16.64582179268407
0.23,16.84084452307033
0.24,17.18698232829724
0.25,17.525305742105335
0.26,17.881190456055034
0.27,18.20043496287333
0.28,18.456245375536437
0.29,18.773852722805675
0.3,18.906133144605533
0.31,19.276572466133754
0.32,19.635773371578725
0.33,19.753031308463992
0.34,20.00365167683868
0.35,20.09734505943429
0.36,20.429956143879522
0.37,20.666765378005934
0.38,20.818841022763642
0.39,21.163137947549906
0.4,21.477427172755082
0.41,21.83453086536339
0.42,22.108727408012033
0.43,22.4420587898191
0.44,22.6590119956419
0.45,22.877955088469577
0.46,23.102094062430446
0.47,23.342246088697653
0.48,23.68169988675788
0.49,23.947547594802785
0.5,24.271748354872237
0.51,24.679120670465554
0.52,24.911926374100076
0.53,25.063824118365737
0.54,25.262957295908116
0.55,25.66599607035835
0.56,25.92457975685719
0.57,26.39064924100488
0.58,26.628497000428062
0.59,26.842811375938883
0.6,27.073671358412003
0.61,27.255311589978476
0.62,27.567494116598752
0.63,27.790371474845376
0.64,28.10311015134255
0.65,28.537332413553813
0.66,28.7437021103714
0.67,29.126582298782555
0.68,29.43673908897865
0.69,29.852008540910074
0.7,30.301021385260082
0.71,30.610867294033444
0.72,31.028376107039733
0.73,31.504977496690703
0.74,31.930812941807822
0.75,32.2915496638177
0.76,32.63555731068286
0.77,32.94041429946525
0.78,33.385259969377735
0.79,33.63497902247677
0.8,34.219056386328035
0.81,34.894341265215374
0.82,35.277625876735236
0.83,36.59371390146018
0.84,39.37152214197397
0.85,233.08689819550918
0.86,235.7222475608761
0.87,239.30202870662026
0.88,243.71656030916873
0.89,246.71992659209312
0.9,249.38549090232328
0.91,251.93761179127287
0.92,254.8939465489672
0.93,260.1376875848747
0.94,268.280372865208
0.95,274.47875528225904
0.96,280.4417691714799
0.97,286.8304322942186
0.98,296.0503604933291
0.99,310.26557468473686
1.0,380.42323797092286
