q05,q50,q95,runs
16.245574055610003,21.837433115269942,28.515422441285324,5
15.828152961624744,24.235025253718597,32.83786527710849,8
13.9940293180838,26.632617392167255,117.1605382090144,13
14.744090920182828,24.47584518216147,33.724781798094355,21
13.700562727990388,24.785088624639304,259.63829305869,34
11.628931842854824,23.27473472837878,257.16016261901075,55
8.888633823635843,23.04862702711939,257.15678830900987,89
8.442806800077136,24.159522709927913,264.69330004969873,145
8.265082886685285,24.273325565632298,267.75320685724967,235
8.785323689919368,24.273325565632298,273.08091781448087,381
9.166219820525804,24.476706296495355,273.1406377461256,617
8.897015839769034,24.271748354872237,274.478755282259,1000
